id,event_type,event_id,risk_score,severity,reasoning,recommended_action,analyzed_at
1,login,1,10,low,"Login during 00:00-05:00 hours (+10)","Continue normal monitoring, log event for baseline analysis","2025-11-20 05:49:10.958234"
2,login,3,100,critical,"Failed login attempt (+30); Admin account targeted (+40); Suspicious source IP detected (+30)","IMMEDIATE: Lock account, investigate source IP, review all recent activity from this user/IP","2025-11-20 05:49:10.986513"
3,login,2,40,medium,"Login during 00:00-05:00 hours (+10); Suspicious source IP detected (+30)","Monitor account for additional suspicious activity, verify with user if unexpected","2025-11-20 05:49:10.995661"
4,login,9,90,critical,"Failed login attempt (+30); 3rd+ failure in short time window (+20); Login during 00:00-05:00 hours (+10); Suspicious source IP detected (+30)","IMMEDIATE: Lock account, investigate source IP, review all recent activity from this user/IP","2025-11-20 05:49:10.988056"
5,login,6,90,critical,"Failed login attempt (+30); 3rd+ failure in short time window (+20); Login during 00:00-05:00 hours (+10); Suspicious source IP detected (+30)","IMMEDIATE: Lock account, investigate source IP, review all recent activity from this user/IP","2025-11-20 05:49:10.991236"
6,login,8,90,critical,"Failed login attempt (+30); 3rd+ failure in short time window (+20); Login during 00:00-05:00 hours (+10); Suspicious source IP detected (+30)","IMMEDIATE: Lock account, investigate source IP, review all recent activity from this user/IP","2025-11-20 05:49:11.000571"
7,login,7,90,critical,"Failed login attempt (+30); 3rd+ failure in short time window (+20); Login during 00:00-05:00 hours (+10); Suspicious source IP detected (+30)","IMMEDIATE: Lock account, investigate source IP, review all recent activity from this user/IP","2025-11-20 05:49:10.989652"
8,login,5,70,high,"Failed login attempt (+30); Login during 00:00-05:00 hours (+10); Suspicious source IP detected (+30)","Investigate login source, verify user identity, consider temporary account restriction","2025-11-20 05:49:10.993121"
9,login,4,40,medium,"Login during 00:00-05:00 hours (+10); Suspicious source IP detected (+30)","Monitor account for additional suspicious activity, verify with user if unexpected","2025-11-20 05:49:10.994225"
10,login,10,90,critical,"Failed login attempt (+30); 3rd+ failure in short time window (+20); Login during 00:00-05:00 hours (+10); Suspicious source IP detected (+30)","IMMEDIATE: Lock account, investigate source IP, review all recent activity from this user/IP","2025-11-20 05:49:11.007234"
