id,src_ip,dst_ip,action,port,protocol,timestamp,is_port_scan,is_lateral_movement,is_malicious_range,is_connection_spike
1,203.0.113.254,192.168.1.199,ALLOW,80,UDP,2025-11-20 04:51:11.011951,f,f,f,f
2,203.0.113.63,192.168.1.143,DENY,6697,UDP,2025-11-19 10:27:11.012049,f,f,f,f
3,203.0.113.241,192.168.1.148,ALLOW,1337,UDP,2025-11-19 13:53:11.012088,f,f,f,f
4,203.0.113.142,192.168.1.96,ALLOW,31337,TCP,2025-11-20 00:43:11.012128,f,f,f,f
5,203.0.113.123,192.168.1.242,DENY,5432,ICMP,2025-11-19 01:19:11.012156,f,f,f,f
6,192.168.1.239,192.168.1.1,DENY,445,ICMP,2025-11-20 00:31:11.012183,f,f,f,f
7,192.168.1.237,192.168.1.77,DENY,443,UDP,2025-11-19 14:12:11.012208,f,f,f,f
8,192.168.1.212,192.168.1.67,ALLOW,1337,ICMP,2025-11-19 17:10:11.012239,f,f,f,f
9,192.168.1.63,192.168.1.208,ALLOW,1337,ICMP,2025-11-19 21:21:11.012267,f,f,f,f
10,203.0.113.22,192.168.1.38,ALLOW,8443,TCP,2025-11-19 12:51:11.012293,f,f,f,f
11,203.0.113.135,192.168.1.201,ALLOW,6697,TCP,2025-11-20 03:56:11.012331,f,f,f,f
12,203.0.113.207,192.168.1.25,ALLOW,31337,UDP,2025-11-19 17:11:11.012356,f,f,f,f
13,192.168.1.139,192.168.1.19,DENY,6697,ICMP,2025-11-20 04:43:11.012381,f,f,f,f
14,203.0.113.87,192.168.1.101,DENY,6667,UDP,2025-11-20 01:13:11.012403,f,f,f,f
15,203.0.113.105,192.168.1.77,ALLOW,139,TCP,2025-11-19 19:44:11.012428,f,f,f,f
16,203.0.113.9,192.168.1.86,ALLOW,6667,UDP,2025-11-19 17:06:11.012454,f,f,f,f
17,192.168.1.112,192.168.1.173,ALLOW,8080,TCP,2025-11-19 14:08:11.012477,f,f,f,f
18,192.168.1.122,192.168.1.143,ALLOW,8080,TCP,2025-11-20 05:04:11.012501,f,f,f,f
19,203.0.113.99,192.168.1.85,ALLOW,4444,ICMP,2025-11-19 01:37:11.012524,f,f,f,f
20,192.168.1.50,192.168.1.92,DENY,31337,UDP,2025-11-19 18:48:11.012547,f,f,f,f
21,192.168.1.8,192.168.1.95,ALLOW,8080,ICMP,2025-11-19 10:32:11.012586,f,f,f,f
22,203.0.113.133,192.168.1.188,DENY,445,ICMP,2025-11-19 07:54:11.012627,f,f,f,f
23,203.0.113.160,192.168.1.83,DENY,20,TCP,2025-11-20 05:48:45.012671,t,f,f,t
24,203.0.113.160,192.168.1.83,DENY,21,TCP,2025-11-20 05:47:59.012696,t,f,f,t
25,203.0.113.160,192.168.1.83,DENY,22,TCP,2025-11-20 05:47:17.012712,t,f,f,t
26,203.0.113.160,192.168.1.83,DENY,23,TCP,2025-11-20 05:46:18.012728,t,f,f,t
27,203.0.113.160,192.168.1.83,DENY,24,TCP,2025-11-20 05:45:30.012783,t,f,f,t
28,203.0.113.160,192.168.1.83,DENY,25,TCP,2025-11-20 05:47:10.012804,t,f,f,t
29,203.0.113.160,192.168.1.83,DENY,26,TCP,2025-11-20 05:46:44.012821,t,f,f,t
30,203.0.113.160,192.168.1.83,DENY,27,TCP,2025-11-20 05:46:06.012837,t,f,f,t
31,203.0.113.160,192.168.1.83,DENY,28,TCP,2025-11-20 05:48:27.012852,t,f,f,t
32,203.0.113.160,192.168.1.83,DENY,29,TCP,2025-11-20 05:45:38.012867,t,f,f,t
33,203.0.113.160,192.168.1.83,DENY,30,TCP,2025-11-20 05:47:01.012883,t,f,f,t
34,203.0.113.160,192.168.1.83,DENY,31,TCP,2025-11-20 05:48:08.012898,t,f,f,t
35,203.0.113.160,192.168.1.83,DENY,32,TCP,2025-11-20 05:47:44.012915,t,f,f,t
36,203.0.113.160,192.168.1.83,DENY,33,TCP,2025-11-20 05:48:56.012932,t,f,f,t
37,203.0.113.160,192.168.1.83,DENY,34,TCP,2025-11-20 05:47:08.012948,t,f,f,t
38,203.0.113.33,192.168.1.228,DENY,6667,ICMP,2025-11-20 00:29:10.990555,f,f,f,f
39,192.168.1.158,192.168.1.199,ALLOW,80,UDP,2025-11-19 21:15:10.990642,f,f,f,f
40,203.0.113.75,192.168.1.73,ALLOW,443,ICMP,2025-11-20 04:03:10.990672,f,f,f,f
41,192.168.1.87,192.168.1.51,DENY,1337,TCP,2025-11-19 13:35:10.9907,f,f,f,f
42,203.0.113.227,192.168.1.135,DENY,5432,UDP,2025-11-19 12:46:10.990724,f,f,f,f
43,192.168.1.26,192.168.1.212,ALLOW,4444,UDP,2025-11-19 23:43:10.990764,f,f,f,f
44,203.0.113.148,192.168.1.195,ALLOW,139,TCP,2025-11-19 21:11:10.990789,f,f,f,f
45,203.0.113.183,192.168.1.217,ALLOW,1337,ICMP,2025-11-19 04:20:10.990812,f,f,f,f
46,203.0.113.253,192.168.1.243,ALLOW,443,UDP,2025-11-20 05:03:10.990836,f,f,f,t
47,203.0.113.179,192.168.1.247,ALLOW,139,ICMP,2025-11-19 22:22:10.990859,f,f,f,f
48,192.168.1.207,192.168.1.250,ALLOW,22,TCP,2025-11-19 14:30:10.990882,f,f,f,t
49,203.0.113.225,192.168.1.117,ALLOW,135,TCP,2025-11-19 23:53:10.99092,f,f,f,f
50,192.168.1.239,192.168.1.89,ALLOW,22,ICMP,2025-11-19 05:45:10.990944,f,f,f,f
