id,username,src_ip,status,timestamp,device_id,auth_method,is_burst_failure,is_suspicious_ip,is_admin
1,rlee,192.168.1.114,SUCCESS,"2025-11-20 04:28:10.891252",WIN-LAPTOP-20,certificate,f,f,f
2,service_account,203.0.113.150,SUCCESS,"2025-11-19 05:16:10.897835",MAC-DESKTOP-02,certificate,f,t,f
3,sysadmin,203.0.113.76,FAIL,"2025-11-19 22:51:10.897913",MAC-DESKTOP-07,password,f,t,t
4,service_account,203.0.113.254,SUCCESS,"2025-11-19 03:40:10.897991",WIN-LAPTOP-03,mfa,f,t,f
5,developer2,203.0.113.59,FAIL,"2025-11-20 00:17:48.898041",MAC-DESKTOP-06,password,f,t,f
6,mjohnson,203.0.113.99,FAIL,"2025-11-20 05:49:10.898082",WIN-LAPTOP-21,password,t,t,f
7,mjohnson,203.0.113.99,FAIL,"2025-11-20 05:44:10.898109",WIN-LAPTOP-21,password,t,t,f
8,mjohnson,203.0.113.99,FAIL,"2025-11-20 05:48:10.898139",WIN-LAPTOP-21,password,t,t,f
9,mjohnson,203.0.113.99,FAIL,"2025-11-20 05:46:10.898175",WIN-LAPTOP-21,password,t,t,f
10,mjohnson,203.0.113.99,FAIL,"2025-11-20 05:44:10.898201",WIN-LAPTOP-21,password,t,t,f
11,dbrown,192.168.1.14,SUCCESS,"2025-11-20 04:47:41.889818",MAC-DESKTOP-01,certificate,f,f,f
12,deveoper1,203.0.113.224,SUCCESS,"2025-11-19 02:24:10.889993",WIN-LAPTOP-07,password,f,t,f
13,kwilliams,203.0.113.220,SUCCESS,"2025-11-19 06:34:10.890075",WIN-LAPTOP-14,password,f,t,f
14,sysadmin,203.0.113.79,FAIL,"2025-11-19 22:45:10.890128",WIN-LAPTOP-10,certificate,f,t,t
15,sysadmin,203.0.113.203,SUCCESS,"2025-11-20 01:53:10.890189",WIN-LAPTOP-17,certificate,f,t,t
16,asmith,192.168.1.143,SUCCESS,"2025-11-19 23:43:10.890242",WIN-LAPTOP-04,sso,f,f,f
17,deveoper1,203.0.113.201,SUCCESS,"2025-11-19 03:18:10.890296",WIN-LAPTOP-20,certificate,f,t,f
18,backup_user,203.0.113.93,SUCCESS,"2025-11-19 18:50:10.890366",WIN-LAPTOP-25,password,f,t,f
19,deveoper1,203.0.113.29,FAIL,"2025-11-20 06:10:10.890419",MAC-DESKTOP-04,password,t,t,f
20,deveoper1,203.0.113.29,FAIL,"2025-11-20 06:16:10.890473",MAC-DESKTOP-04,password,t,t,f
21,deveoper1,203.0.113.29,FAIL,"2025-11-20 06:14:10.89054",MAC-DESKTOP-04,password,t,t,f
22,deveoper1,203.0.113.29,FAIL,"2025-11-20 06:18:10.890577",MAC-DESKTOP-04,password,t,t,f
23,deveoper1,203.0.113.29,FAIL,"2025-11-20 06:09:10.89061",MAC-DESKTOP-04,password,t,t,f
24,backup_user,192.168.1.114,SUCCESS,"2025-11-19 23:07:41.950079",MAC-DESKTOP-09,certificate,f,f,f
25,backup_user,203.0.113.246,SUCCESS,"2025-11-19 20:02:41.958073",MAC-DESKTOP-10,sso,f,t,f
26,mjohnson,192.168.1.189,SUCCESS,"2025-11-20 00:13:18.958129",WIN-LAPTOP-13,mfa,f,f,f
27,dbrown,203.0.113.157,SUCCESS,"2025-11-19 03:13:41.95816",MAC-DESKTOP-07,password,f,t,f
28,root,203.0.113.249,SUCCESS,"2025-11-20 02:37:41.958185",LINUX-SERVER-06,certificate,f,t,t
29,admin,203.0.113.147,SUCCESS,"2025-11-19 07:35:41.958214",WIN-LAPTOP-15,certificate,f,t,t
30,scanner,203.0.113.88,FAIL,"2025-11-20 06:43:41.958235",WIN-LAPTOP-17,password,t,t,f
31,scanner,203.0.113.88,FAIL,"2025-11-20 06:44:41.958256",WIN-LAPTOP-17,password,t,t,f
32,scanner,203.0.113.88,FAIL,"2025-11-20 06:43:41.95828",WIN-LAPTOP-17,password,t,t,f
33,scanner,203.0.113.88,FAIL,"2025-11-20 06:39:41.958301",WIN-LAPTOP-17,password,t,t,f
34,scanner,203.0.113.88,FAIL,"2025-11-20 06:37:41.958318",WIN-LAPTOP-17,password,t,t,f
35,sysadmin,192.168.1.161,SUCCESS,"2025-11-20 02:12:02.622253",WIN-LAPTOP-28,certificate,f,f,t
36,sysadmin,203.0.113.85,SUCCESS,"2025-11-19 11:06:39.626623",MAC-DESKTOP-02,password,f,t,t
37,monitoring,192.168.1.197,SUCCESS,"2025-11-20 00:15:27.626681",MAC-DESKTOP-08,certificate,f,f,f
38,service_account,192.168.1.5,SUCCESS,"2025-11-19 18:04:39.62672",MAC-DESKTOP-02,password,f,f,f
39,deveoper1,192.168.1.162,SUCCESS,"2025-11-19 05:35:39.626779",MAC-DESKTOP-03,sso,f,f,f
40,netadmin,203.0.113.182,SUCCESS,"2025-11-19 13:42:39.626806",LINUX-SERVER-07,sso,f,t,t
41,admin,203.0.113.250,FAIL,"2025-11-20 06:47:39.626828",WIN-LAPTOP-28,password,t,t,t
42,admin,203.0.113.250,FAIL,"2025-11-20 06:44:39.626853",WIN-LAPTOP-28,password,t,t,t
43,admin,203.0.113.250,FAIL,"2025-11-20 06:43:39.626878",WIN-LAPTOP-28,password,t,t,t
44,admin,203.0.113.250,FAIL,"2025-11-20 06:48:39.626896",WIN-LAPTOP-28,password,t,t,t
45,admin,203.0.113.250,FAIL,"2025-11-20 06:45:39.626916",WIN-LAPTOP-28,password,t,t,t
46,developer2,203.0.113.108,SUCCESS,"2025-11-20 00:44:17.202352",WIN-LAPTOP-05,certificate,f,t,f
47,jdoe,192.168.1.126,SUCCESS,"2025-11-20 01:45:12.206427",WIN-LAPTOP-29,password,f,f,f
48,sysadmin,203.0.113.134,SUCCESS,"2025-11-20 05:54:55.206492",WIN-LAPTOP-03,certificate,f,t,t
49,scanner,203.0.113.182,SUCCESS,"2025-11-19 06:55:35.206538",MAC-DESKTOP-09,mfa,f,t,f
50,sysadmin,192.168.1.206,SUCCESS,"2025-11-20 07:01:35.206598",WIN-LAPTOP-24,password,f,f,t
